Tipo_Sucessor,Qtd Chaves,Altura,Altura Esperada
AVL,477,9,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,9,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,9,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,9,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,9,12
AVL,477,10,12
AVL,477,10,12
AVL,477,9,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,9,12
AVL,477,10,12
AVL,477,10,12
AVL,477,9,12
AVL,477,10,12
AVL,477,10,12
AVL,477,9,12
AVL,477,10,12
AVL,477,9,12
AVL,477,9,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,9,12
AVL,477,9,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,9,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,9,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,11,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,11,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,603,10,12
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,9,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,614,10,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,10,13
AVL,903,10,13
AVL,903,11,13
AVL,903,11,13
AVL,903,10,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,10,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,10,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,10,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,10,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,10,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,903,11,13
AVL,428,9,12
AVL,428,9,12
AVL,428,10,12
AVL,428,10,12
AVL,428,10,12
AVL,428,10,12
AVL,428,10,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,10,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,10,12
AVL,428,9,12
AVL,428,10,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,10,12
AVL,428,9,12
AVL,428,9,12
AVL,428,10,12
AVL,428,10,12
AVL,428,10,12
AVL,428,10,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,10,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,10,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,10,12
AVL,428,10,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,10,12
AVL,428,10,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,10,12
AVL,428,10,12
AVL,428,10,12
AVL,428,10,12
AVL,428,9,12
AVL,428,9,12
AVL,428,10,12
AVL,428,9,12
AVL,428,9,12
AVL,428,10,12
AVL,428,10,12
AVL,428,10,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,10,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,428,10,12
AVL,428,9,12
AVL,428,10,12
AVL,428,9,12
AVL,428,9,12
AVL,428,9,12
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,11,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,11,13
AVL,751,10,13
AVL,751,10,13
AVL,751,11,13
AVL,751,10,13
AVL,751,10,13
AVL,751,11,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,11,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,11,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,11,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,11,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,11,13
AVL,751,11,13
AVL,751,10,13
AVL,751,10,13
AVL,751,11,13
AVL,751,11,13
AVL,751,10,13
AVL,751,11,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,11,13
AVL,751,10,13
AVL,751,10,13
AVL,751,11,13
AVL,751,10,13
AVL,751,11,13
AVL,751,10,13
AVL,751,10,13
AVL,751,11,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,11,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,10,13
AVL,751,11,13
AVL,751,10,13
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,9,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,9,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,9,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,546,10,12
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,11,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,11,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,11,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,11,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,11,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,11,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,710,10,13
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,8,11
AVL,270,9,11
AVL,270,8,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,8,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,8,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,8,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,8,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,8,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,8,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,8,11
AVL,270,8,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,8,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,8,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,9,11
AVL,270,8,11
AVL,270,9,11
AVL,142,8,9
AVL,142,8,9
AVL,142,7,9
AVL,142,7,9
AVL,142,8,9
AVL,142,8,9
AVL,142,8,9
AVL,142,7,9
AVL,142,7,9
AVL,142,8,9
AVL,142,8,9
AVL,142,8,9
AVL,142,7,9
AVL,142,7,9
AVL,142,7,9
AVL,142,8,9
AVL,142,8,9
AVL,142,8,9
AVL,142,7,9
AVL,142,8,9
AVL,142,8,9
AVL,142,8,9
AVL,142,8,9
AVL,142,8,9
AVL,142,7,9
AVL,142,7,9
AVL,142,8,9
AVL,142,8,9
AVL,142,7,9
AVL,142,7,9
AVL,142,7,9
AVL,142,8,9
AVL,142,7,9
AVL,142,8,9
AVL,142,7,9
AVL,142,8,9
AVL,142,7,9
AVL,142,8,9
AVL,142,7,9
AVL,142,8,9
AVL,142,8,9
AVL,142,7,9
AVL,142,7,9
AVL,142,7,9
AVL,142,7,9
AVL,142,7,9
AVL,142,8,9
AVL,142,8,9
AVL,142,8,9
AVL,142,7,9
AVL,142,8,9
AVL,142,7,9
AVL,142,8,9
AVL,142,8,9
AVL,142,8,9
AVL,142,8,9
AVL,142,8,9
AVL,142,7,9
AVL,142,8,9
AVL,142,8,9
AVL,142,7,9
AVL,142,8,9
AVL,142,8,9
AVL,142,7,9
AVL,142,8,9
AVL,142,8,9
AVL,142,8,9
AVL,142,8,9
AVL,142,8,9
AVL,142,8,9
AVL,142,8,9
AVL,142,7,9
AVL,142,8,9
AVL,142,8,9
AVL,142,8,9
AVL,142,8,9
AVL,142,8,9
AVL,142,7,9
AVL,142,7,9
AVL,142,8,9
AVL,142,8,9
AVL,142,8,9
AVL,142,7,9
AVL,142,8,9
AVL,142,8,9
AVL,142,7,9
AVL,142,8,9
AVL,142,7,9
AVL,142,8,9
AVL,142,7,9
AVL,142,7,9
AVL,142,8,9
AVL,142,8,9
AVL,142,7,9
AVL,142,7,9
AVL,142,8,9
AVL,142,7,9
AVL,142,8,9
AVL,142,7,9
AVL,142,7,9
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,11,13
AVL,650,10,13
AVL,650,11,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,650,10,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,10,13
AVL,865,10,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,10,13
AVL,865,11,13
AVL,865,11,13
AVL,865,10,13
AVL,865,11,13
AVL,865,10,13
AVL,865,11,13
AVL,865,10,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,10,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,10,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,10,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,10,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,10,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,10,13
AVL,865,10,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,10,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,10,13
AVL,865,10,13
AVL,865,10,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,10,13
AVL,865,10,13
AVL,865,11,13
AVL,865,11,13
AVL,865,10,13
AVL,865,10,13
AVL,865,11,13
AVL,865,10,13
AVL,865,11,13
AVL,865,11,13
AVL,865,10,13
AVL,865,10,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,865,11,13
AVL,223,8,10
AVL,223,9,10
AVL,223,8,10
AVL,223,9,10
AVL,223,9,10
AVL,223,8,10
AVL,223,9,10
AVL,223,8,10
AVL,223,8,10
AVL,223,9,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,9,10
AVL,223,8,10
AVL,223,8,10
AVL,223,9,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,9,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,9,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,9,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,9,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,9,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,9,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,9,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
AVL,223,8,10
